"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"1178","N573UW","1862","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"81","N3JFAA","291","1","0","JFK","AUS","105","2017","1","1","FLIGHT_2017"
"1406","N765US","873","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"4569","N921AT","2669","0","0","JFK","BOS","106","2018","8","25","FLIGHT_2018"
"428","N3HRAA","335","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"898","N3GFAA","193","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"1877","N708UW","1922","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"2103","N733UW","1843","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"2832","N111US","1869","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"4519","N963UW","2146","0","0","JFK","BOS","100","2018","8","13","FLIGHT_2018"
"197","N3HWAA","1653","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"389","N3FMAA","1653","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"4696","N947UW","2146","0","0","JFK","BOS","102","2018","7","23","FLIGHT_2018"
"4350","N986AT","2666","0","0","JFK","BOS","10","2018","7","6","FLIGHT_2018"
"142","N3KFAA","2314","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"485","N3DPAA","291","0","0","JFK","AUS","105","2017","1","1","FLIGHT_2017"
"869","N3KEAA","1096","0","0","JFK","BOS","102","2017","1","1","FLIGHT_2017"
"4709","N928AT","2673","0","0","JFK","BOS","104","2018","7","28","FLIGHT_2018"
"310","N3LXAA","193","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"1179","N3JDAA","330","0","0","JFK","CLT","104","2017","1","1","FLIGHT_2017"
"3443","N814AW","1970","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"3791","N959AT","2666","0","0","JFK","BOS","103","2018","4","3","FLIGHT_2018"
"3612","N938AT","2674","0","0","JFK","BOS","104","2018","2","12","FLIGHT_2018"
"4931","N993AT","2668","0","0","JFK","BOS","107","2018","11","16","FLIGHT_2018"
"1137","N3ERAA","67","0","0","JFK","AUS","106","2017","1","1","FLIGHT_2017"
"2921","N751UW","1842","0","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
"287","N3LXAA","193","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"381","N3DCAA","2314","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"1059","N914UY","1737","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"751","N3GMAA","67","0","0","JFK","AUS","105","2017","1","1","FLIGHT_2017"
"4654","N982AT","2670","0","0","JFK","BOS","103","2018","9","21","FLIGHT_2018"
"766","N3JHAA","335","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"1072","N3FUAA","67","0","0","JFK","AUS","107","2017","1","1","FLIGHT_2017"
"3959","N987AT","2672","0","0","JFK","BOS","101","2018","3","15","FLIGHT_2018"
"4776","N951AT","2673","0","0","JFK","BOS","107","2018","12","2","FLIGHT_2018"
"4860","N955AT","2672","0","0","JFK","BOS","102","2018","9","28","FLIGHT_2018"
"748","N3FEAA","335","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"2820","N3FDAA","2580","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"3864","N958UW","2151","0","0","JFK","BOS","105","2018","2","24","FLIGHT_2018"
"4178","N938AT","2686","0","0","JFK","BOS","101","2018","4","19","FLIGHT_2018"
"1247","N107US","1919","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"4121","N919AT","2696","0","0","JFK","BOS","109","2018","5","19","FLIGHT_2018"
"5056","N3FGAA","67","0","0","JFK","AUS","10","2017","11","2","FLYU_FLIGHTS"
"881","N3AWAA","1096","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"1702","N508AY","1737","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"3140","N3ADAA","330","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"2212","N558UW","604","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"3854","N954AT","2676","0","0","JFK","BOS","106","2018","2","23","FLIGHT_2018"
"1603","N3CCAA","199","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"2738","N815AW","1842","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"4748","N953AT","2673","0","0","JFK","BOS","10","2018","8","6","FLIGHT_2018"
"66","N3EVAA","1653","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
